尺[しゃく] 八[はち],しゃくはち,尺八（源于中国隋唐时代的宫廷，在日本得到传承的竹制吹管乐器）
理[り] 解[かい][する],りかい[する],理解
文[ぶん] 化[か] 面[めん],ぶんかめん[しんぶんの〜],文化版面
プロフィール,,（人物）简介
取[と]る,とる[すもうを〜],进行
相[す] 撲[もう]を 取[と]る,とる[すもうを〜],进行相扑（比赛）
手[て] 順[じゅん],てじゅん,顺序、步骤
管[かん] 楽[がく] 器[き],かんがっき,管乐器
邦[ほう] 楽[がく],ほうがく,邦乐（日本传统音乐）
笙[しょう],しょう,笙
琴[こと],こと,日本琴、日本古筝
三[しゃ] 味[み] 線[せん],しゃみせん,三味线（日本的一种传统弦乐器）
小[こ] 鼓[つづみ],こつづみ,小鼓
民[みん] 族[ぞく],みんぞく[おんがく],民族
民[みん] 族[ぞく] 音[おん] 楽[がく],みんぞく[おんがく],民族音楽
奏[そう] 者[しゃ],そうしゃ,演奏者
授[さず]かる,さずかる[ごうを〜],被授予
号[ごう]を 授[さず]かる,さずかる[ごうを〜],被授予「〜」的雅号（课文中的「号」是指日本传统音乐等继承的雅号。即，襲用艺名）
内[ない] 外[がい],ないがい[くにの〜],内外
国[くに]の 内[ない] 外[がい],ないがい[くにの〜],国内外
古[こ] 典[てん],こてん,古典
修[しゅう] 業[ぎょう][する],しゅぎょう[する],修业
自[みずか]ら,みずから,亲自
半[はん] 生[せい],はんせい,半生
著[ちょ] 書[しょ],ちょしょ,著书、专著
音[ね] 色[いろ],ねいろ,音色
ノンフィクション,,纪实文学、非小说类文学作品
アフロヘアー,,爆炸式头型
もと,[そうけの〜],在……指导下
宗[そう] 家[け]のもと,[そうけの〜],在掌门人的指导下
初[しょ] 心[しん] 者[しゃ],しょしんしゃ,初学者
厄[やっ] 介[かい][な],やっかい[な],麻烦[的]
トロンボーン,,长号
フルート,,长笛
吹[ふ]く,ふく,吹奏
あっさり,,简单地、轻轻松松地
出[だ]す,だす[おとを〜],吹出
音[おと]を 出[だ]す,だす[おとを〜],吹出响声
