死[し] 亡[ぼう] 記[き] 事[じ],しぼうきじ,(刊登在报刊上的) 讣告
死[し] 亡[ぼう][する],しぼう[する],死亡
手[て] 紙[がみ] 文[ぶん],てがみぶん,书信文体
依[い] 頼[らい] 状[じょう],いらいじょう,委托信
死[し] 生[せい] 観[かん],しせいかん,生死观
ディスカッション,ディスカッション,讨论
通[つう] 信[しん] 手[しゅ] 段[だん],つうしんしゅだん,通信手段
手[しゅ] 段[だん],しゅだん,手段
拝[はい] 啓[けい],はいけい,敬启者
時[じ] 下[か],じか,时下
[ご] 健[けん] 勝[しょう],[ご]けんしょう,敬悉康和（书信用语）
小[しょう] 社[しゃ],しょうしゃ,(自谦语) 鄙公司、本公司
目[も] 下[か],もっか,眼下
類[るい],るい,类
ネクロロジー,ネクロロジー,死者名册、讣告、逝者略传
物[ぶつ] 故[こ] 者[しゃ],ぶっこしゃ,逝者
略[りゃく] 伝[でん],りゃくでん,略传
編[へん] 纂[さん][する],へんさん[する],编撰
玉[ぎょく] 稿[こう],ぎょっこう,玉稿（表达对撰稿人的尊敬）
たまわる,たまわる,赐予
次[し] 第[だい],しだい,谨表（谦虚地说明理由）
当[とう] の,とうの,该……
本[ほん] 人[にん],ほんにん,本人
執[しっ] 筆[ぴつ][する],しっぴつ[する],执笔
点[てん],てん,点
という 点[てん],てん,……这一点
存[そん] 命[めい],ぞんめい[ちゅう],健在
存[そん] 命[めい] 中[ちゅう],ぞんめい[ちゅう],健在
人[じん] 物[ぶつ],じんぶつ,人物
業[ぎょう] 績[せき],ぎょうせき,业绩
辞[じ] 世[せい],じせい,辞世
墓[ぼ] 碑[ひ] 銘[めい],ぼひめい,墓志铭
不[ふ] 謹[きん] 慎[しん],ふきんしん,不谨慎
興[きょう] 味[み] 本[ほん] 位[い],きょうみほんい,娱乐八卦
死[し],し,死
生[せい],せい,生
さらす,,晒、暴露[人は常に同時代の周りからの評価にさらされている。／人总是要面对来自同一时代的种种评价的。]
集[しゅう] 約[やく],しゅうやく[する],集约
人[じん] 名[めい] 事[じ] 典[てん],じんめいじてん,人名辞典
記[き] 述[じゅつ],きじゅつ[する],记述
客[きゃく] 観[かん] 的[てき],きゃっかんてき[な],客观[的]
抱[いだ]く,いだく,抱有
別[べつ] 問[もん] 題[だい],べつもんだい,另外的问题
承[しょう] 知[ち],しょうち[する],答应
いっそ,,索性、干脆
隔[へだ]てる,へだてる,隔开
中[ちゅう] 略[りゃく],ちゅうりゃく,中间省略
本[ほん] 書[しょ],ほんしょ,本书
意[い] 図[と],いと[する],意图
敬[けい] 具[ぐ],けいぐ,敬上
色[いろ] は 匂[にお]へどちりぬるを,いろはにおへ(え)どちりぬるを,终含香终调零（日本和歌「いろは歌」的第一句）
氏[し],し,先生
生[せい] 前[ぜん],せいぜん,生前
遺[い] 骨[こつ],いこつ,遗骨
三[さん] 無[む] 主[しゅ] 義[ぎ],さんむしゅぎ,三无主义
主[しゅ] 義[ぎ],しゅぎ,主义
唱[とな]える,となえる,倡导
遺[い] 書[しょ],いしょ,遗书
記[しる]す,しるす,记述
公[こう] 言[げん],こうげん[する],公开宣称
遺[い] 族[ぞく],いぞく,遗属
忠[ちゅう] 実[じつ],ちゅうじつ[な],忠实[的]
覆[おお]い 隠[かく]す,おおいかくす,掩盖、隐瞒
生[しょう] 涯[がい],しょうがい,生涯
宗[しゅう] 教[きょう],しゅうきょう,宗教
満[まん] 月[げつ],まんげつ,满月
仰[あお]ぐ,あおぐ,仰望
夢[む] 想[そう][する],むそう[する],梦想
はたして,,果真、究竟
最[さい] 期[ご],さいご,临终
定[さだ]か[な],さだか[な],确定[的]、明确[的]
悟[さと]る,さとる,领悟
心[こころ] 得[え],こころえ,心得
断[だん] 食[じき][する],だんじき[する],绝食
往[おう] 生[じょう][する],おうじょう[する],往生（佛教用语）、死
現[げん] 時[じ] 点[てん],げんじてん,目前的时间点
すべ,,办法[確かめるすべがない/没有办法确认]
かねて,,以前、事先
一[ひと] 握[にぎ]り,ひとにぎり,一小把
散[さん] 骨[こつ],さんこつ,撒骨灰
知[ち] 友[ゆう],ちゅう,挚友
遺[い] 灰[はい],いはい,骨灰
みちすがら,,沿途
因[いん] 縁[ねん],いんねん,因缘
散[さん] 布[ぷ][する],さんぷ[する],散布
愛[あい] 唱[しょう] 句[く],あいしょうく,爱吟唱的诗句
制[せい] 作[さく] 意[い] 図[と],せいさくいと,制作意图
制[せい] 作[さく][する],せいさく[する],制作
夢[ゆめ]みる,ゆめみる,梦想
山[やま]あり 谷[たに]あり,やまありたにあり,有山有谷、跌宕起伏
振[ふ]り 返[かえ]る,ふりかえる,回顾
功[こう] 績[せき],こうせき,功绩
還[かん] 暦[れき],かんれき,花甲
迎[むか]える,むかえる[かんれきを〜],迎来
還暦を 迎[むか]える,むかえる[かんれきを〜],迎来花甲之年
フェア,フェア,展会
開[かい] 催[さい][する],かいさい[する],举办
資[し] 金[きん],しきん,資金
団[だん] 体[たい],だんたい,団体
御[おん] 中[ちゅう],おんちゅう,公启（公函抬头的尊称）
時[じ] 候[こう],じこう,时节、季节
趣[しゅ] 旨[し],しゅし,意趣
企[き] 画[かく][する],きかく[する],企划
意[い] 義[ぎ],いぎ,意义
依[い] 頼[らい][する],いらい[する],委托
伝[でん] 記[き],でんき,传记
ゼミ,,（大学的）学生课堂研讨会
文[ぶん] 末[まつ],ぶんまつ,句子结尾
遠[えん] 慮[りょ]がち,えんりょがち,有点儿谦虚、有点儿客气
意[い] 思[し],いし,意思
議[ぎ] 題[だい],ぎだい,议题
産[う] む,うむ,产下
保[ほ] 育[いく] 所[しょ],ほいくしょ,保育园
ためらう,ためらう,犹豫
せめて,せめて,哪怕是
給[きゅう] 食[しょく],きゅうしょく,（学校等）供餐
保[ほ] 育[いく] 施[し] 設[せつ],ほいくしせつ,保育设施
〜 施[し] 設[せつ],〜しせつ[ほいく〜],……设施
保[ほ]育[いく] 施[し] 設[せつ],〜しせつ[ほいく〜],保育设施
充[じゅう] 実[じつ][する],じゅうじつ[する],充实
恩[おん] 恵[けい],おんけい,恩惠
不[ふ] 公[こう] 平[へい]感[かん],ふこうへい[かん],不公平的感觉
核[かく] 家[か] 族[ぞく],かくかぞく,核家庭
育[いく] 児[じ] 休[きゅう] 暇[か],いくじきゅうか,育儿假
育[いく] 児[じ],いくじ,育儿
子[こ] 育[そだ]て,こそだて,带孩子
積[せっ] 極[きょく] 的[てき][な],せっきょくてき[な],积极[的]
放[ほう] 棄[き][する],ほうき[する],放弃
イジメ,いじめ,欺负
任[まか]せる,まかせる,任由
縛[しば]る,しばる,捆绑
解[かい] 消[しょう][する],かいしょう[する],解除、解决
こだわる,,拘泥于
背[はい] 景[けい],はいけい,背景
カギ,もんだいをかいけつする〜,关键
問[もん]題[だい]を解[かい]決[けつ]するカギ,もんだいをかいけつする〜,解决问题的关键
未[み] 婚[こん],みこん,未婚
晩[ばん] 婚[こん],ばんこん,晚婚
発[はっ] 想[そう][する],はっそう[する],想出的点子、创意、构思
値[ね] 上[あ]げ,ねあげ,涨价
居[きょ] 住[じゅう]〜,きょじゅう〜[〜かんきょう],居住……
居[きょ] 住[じゅう]環[かん] 境[きょう],きょじゅう〜[〜かんきょう],居住環境
レベル,,水平
年[ねん] 金[きん],ねんきん,退休日金
年[ねん] 金[きん] 生[せい] 活[かつ],ねんきんせいかつ[しゃ],靠退休金生活
年[ねん] 金[きん] 生[せい] 活[かつ]者[しゃ],ねんきんせいかつ[しゃ],靠退休金生活者
安[あん] 易[い][な],あんい[な],轻易[的]、随意[的]
スライド[する],,（随物价）浮动
仕[し] 方[かた][が]ない,しかた[が]ない,没有办法
交[まじ]わり,まじわり,交往、交际
無[む] 駄[だ] 遣[づか]い,むだづかい,浪费
誘[ゆう] 惑[わく][する],ゆうわく[する],诱惑
日[ひ] 頃[ごろ],ひごろ,平时
オンラインゲーム,,网络游戏
率[そっ] 直[ちょく][な],そっちょく[な],坦率[的]
意[い] 見[けん] 交[こう] 換[かん],いけんこうかん,交换意见
まとめ 役[やく],まとめやく,召集人
[delete]まとめ 役[やく],まとめやく,召集人
共[きょう] 有[ゆう][する],きょうゆう[する],共有
移[い] 転[てん][する],いてん[する],转移
出[しゅっ] 席[せき] 率[りつ],しゅっせきりつ,出席率
運[うん] 転[てん] 免[めん] 許[きょ] 証[しょう],うんてんめんきょしょう,驾照
経[けい] 済[ざい] 成[せい] 長[ちょう] 期[き],けいざいせいちょうき,经济增长期
倍[ばい],ばい,倍
皆[みな] 様[さま],みなさま,各位
国[こく] 連[れん],こくれん,联合国
通[つう] 訳[やく][する],つうやく[する],口译
左[さ] 右[ゆう][する],さゆう[する],左右
乳[にゅう] 幼[よう] 児[じ],にゅうようじ,婴幼儿
死[し] 亡[ぼう] 率[りつ],しぼうりつ,死亡率
生[せい] 命[めい] 体[たい],せいめいたい,生命体
着[ちゃく] 用[よう][する],ちゃくよう[する],穿着
他[た] 人[にん],たにん,他人
発[はつ] 達[たつ][する],はったつ[する],发达
地[ち] 動[どう] 説[せつ],ちどうせつ,地动说、日心说
信[しん] 念[ねん],しんねん,信念
にこにこ[する],,笑嘻嘻的
待[ま]ち 望[のぞ] む,まちのぞむ,盼望
めったに,,很少
よほど,,相当
機[き] 嫌[げん],きげん,心情
ストレス,,精神压力
たまる,,积累
ストレスがたまる,,精神压力累积
突[つ]く,つく,攻、抓（抓住问题的本质）
エコロジー,,生态学、社会生态学
思[し] 想[そう],しそう,思想
まもなく,,很快
そうした,,这样的
労[ろう] 動[どう] 力[りょく],ろうどうりょく,劳动力
依[い] 存[そん][する],いそん[する],依存
労[ろう] 動[どう] 者[しゃ],ろうどうしゃ,劳动者
受[うけ] 入[い]れる,うけいれる,接受
労[ろう] 動[どう] 条[じょう] 件[けん],ろうどうじょうけん,劳动条件
労[ろう] 動[どう],ろうどう,劳动
整[せい] 備[び] [する],せいび[する],完善
天[てん],てん,天
パスワード,,密码
地[じ] 面[めん],じめん,地面
凍[こお]る,こおる,结冰、冻住
王[おう] 様[さま],おうさま,国王
幼[おさ]い,おさない,幼小的
貧[まず]しい,まずしい,贫穷的
援[えん] 助[じょ] [する],えんじょ[する],援助
刺[し] 激[げき] [する],しげき[する],刺激
食[しょく] 料[りょう],しょくりょう,食品
不[ふ] 確[たしか]か[な],ふたしか[な],不确定[的]
児[じ] 童[どう] 公[こう] 園[えん],じどうこうえん,儿童公园
児[じ] 童[どう],じどう,儿童
ブランコ,,秋千
滑[すべり] 台[だい],すべりだい,滑梯
甘[あま]やかす,あまやかす,宠爱、溺爱
予[よ] 防[ぼう] 接[せっ] 種[しゅ],よぼうせっしゅ,预防接种
生[い]きがい,いきがい,活着的意义
童[どう] 話[わ],どうわ,童话
意[い] 欲[よく],いよく,干劲
公[こう] 平[へい] [な],こうへい[な],公平[的]
科[か] 目[もく],かもく,科目
社[しゃ] 会[かい] 保[ほ] 障[しょう],しゃかいほしょう,社会保障
爆[ばく] 発[はつ] [する],ばくはつ[する],爆炸
急[きゅう] 増[ぞう] [する],きゅうぞう[する],激增
雇[こ] 用[よう] [する],こよう[する],雇佣
貧[ひん] 困[こん],ひんこん,贫困
生[う]む,うむ,产生
深[しん] 刻[こく] [な],しんこく[な],深刻[的]、严重[的]
フェスタ,,祭典
私[わたくし]ども,わたくしども,我们
協[きょう] 会[かい],きょうかい,协会
展[てん] 示[じ] [する],てんじ[する],展示
詳[しょう] 細[さい] [な],しょうさい[な],详细[的]
企[き] 画[かく] 書[しょ],きかくしょ,企划书
打[う] ちあわせ,うちあわせ,碰头会
日[にっ] 程[てい],にってい,日程
用[よう] 件[けん],ようけん,需办之事、需传达之事
承[しょう] 諾[だく] [する],しょうだく[する],承诺
無[む] 気[き] 力[りょく] [な],むきりょく[な],软弱无力
無[む] 断[だん],むだん,擅自
満[み] たす,みたす,满足
再[さい] 会[かい] [する],さいかい[する],再会
玩[がん] 具[ぐ],がんぐ,玩具
粘[ねばり] 強[づよ] い,ねばりづよい,顽强、百折不挠
要[よう] 望[ぼう] [する],ようぼう[する],希望
息[いき],いき,气息
引[ひ] き取る,ひきとる[いきを〜],断
息[いき]を 引[ひ] き取る,ひきとる[いきを〜],断气
褒[ほめ] たたえる,ほめたたえる,褒奖、赞美
熱[ねつ] 意[い],ねつい,热情
響[ひび] く,ひびく,回响
鑑[かん] 賞[しょう] [する],かんしょう[する],鉴赏
訴[うった] える,うったえる,诉说
では、 今[きょう] の 議[ぎ] 題[だい]、～について 話[はなし] 合[あい] たいと 思[おも] います。, ,那么，我想就今天的议题……与各位进行交流。（在开始讨论时的用语）
[delete]では、 今[きょう] の 議[ぎ] 題[だい]、～について 話[はなし] 合[あい] たいと 思[おも] います。, ,那么，我想就今天的议题……与各位进行交流。（在开始讨论时的用语）
私[わたし] は～に 反[はん] 対[たい] です。,わたしは～にはんたいです,我反对……
～より～を～べきじゃないでしょうか。,～より～を～べきじゃないでしょうか,比起……，还是应该……，不是吗?
[delete]～より～を～べきじゃないでしょうか。,～より～を～べきじゃないでしょうか,比起……，还是应该……，不是吗?
その 通[とお] り です。,そのとおりです,你说得很对。（表示赞成）
...のではなく、まず、...べきだと 思[おも] います。,...のではなく、まず、...べきだとおもいます,我认为不是……，而首先应该……
[delete]...のではなく、まず、...べきだと 思[おも] います。,...のではなく、まず、...べきだとおもいます,我认为不是……，而首先应该……
[delete]...のではなく、まず、...べきだと 思[おも] います。,...のではなく、まず、...べきだとおもいます,我认为不是……，而首先应该……
[delete]では、 今[きょ] 日[う] の 議[ぎ] 題[だい]、～について 話[はな] し 合[あ] いたい と 思[おも] います。,では、きょうのぎだい、～についてはなしあいたいとおもいます。,那么，我想就今天的议题……与各位进行交流。
ですが、～さん。,ですが、～さん。,但是，～先生啊。（表明接下来准备提出反驳意见）
それもそうですね。,それもそうですね。,你说的也有一定的道理。（表示部分赞成）
...なんじゃないでしょうか。,...なんじゃないでしょうか。,……不是吗?（叙述意见）
ではそろそろ 意[い] 見[けん] を まとめたいと 思[おも] います。,ではそろそろ いけん を まとめたいと おもいます。,那么，我想该总结一下意见了。（在讨论结束时使用的句型）
山[やま] 折[おり] 哲[てつ] 雄[お],やまおりてつお,山折哲雄：宗教学家、哲学家。1931年出生。
西[さい] 行[ぎょう] 法[ほう] 師[し],さいぎょうほうし,西行法師：日本平安时代晚期的歌人。
ガンジス,,恒河（Ganges）
ASEAN 諸[しょ] 国[こく],アセアンしょこく,东盟各国
ガリレオ,,伽利略（Galileo Galilei 1564—1642）：意大利物理学家、天文学家。
アンデルセン 童[どう] 話[わ],アンデルセンどうわ,《安徒生童话》：丹麦作家安徒生所写的系列童话作品。
羅[ら] 生[しょう] 門[もん],らしょうもん,《羅生門》：1950年公映的由黑泽明导演的日本电影。
生[い] きる,いきる,《生之欲》：1952年公映的由黑泽明导演的日本电影。
推[すい] 察[さつ],すいさつ[する],推测
通[とお]す,とおす,坚持到底
無[む] 償[しょう],むしょう,无偿
不[ふ] 公[こう] 平[へい],ふこうへい[かん],不公平
カップル,,情侣、一对儿
転[てん] 換[かん][する],てんかん[する],转换
