型[かた],かた,规矩
はまる,[かたに〜],受约束
型[かた]にはまる,[かたに〜],循规蹈矩
好[こう] 奇[き] 心[しん],こうきしん,好奇心
忍[にん] 耐[たい],にんたい[りょく],忍耐
忍[にん] 耐[たい] 力[りょく],にんたい[りょく],忍耐力
就[しゅう] 職[しょく] 試[し] 験[けん],しゅうしょくしけん,入职考试
面[めん] 接[せつ][する],めんせつ[する],面试
約[やく] 束[そく] 事[ごと],やくそくごと,约定之事
[delete]約[やく] 束[そく] 事[ごと],やくそくごと,约定之事
守[まも]る,まもる[やくそくを〜],遵守
約[やく] 束[そく]を 守[まも]る,まもる[やくそくを〜],遵守约定
服[ふく] 装[そう],ふくそう,服装
TPO,ティーピーオー,（着装时考虑时间、地点、场合的）TPO原则
[お] 能[のう],[お]のう,能剧（一种日本古典舞台艺术）
破[やぶ]る,やぶる[かたを〜],打破
型[かた]を 破[やぶ]る,やぶる[かたを〜],打破规矩
とかく,とかく,动不动就
見[み] 渡[わた]す,みわたす,放眼望去
あらざるもの,あらざるもの,不是……的事情
衣[い] 類[るい],いるい,衣物
しばり 上[あ]げる,しばりあげる,捆绑
人[じん] 跡[せき],じんせき,人迹
絶[た]える,たえる,断绝
山[やま] 奥[おく],やまおく,深山
面[めん] 倒[どう]くさい,めんどうくさい,麻烦
こんがらがる,こんがらがる,混乱、纠结
糸[いと],いと,丝、线
ズタズタに,ずたずたに,剪成碎线头
切[き]りさく,きりさく,剪碎
社[しゃ] 会[かい] 人[じん],しゃかいじん,社会一员
たる,[しゃかいじん],作为……
社[しゃ] 会[かい] 人[じん]たる,[しゃかいじん],作为社会的一员
なんといおうとも,なんといおうとも,不管怎么说
不[ふ] 自[じ] 由[ゆう][な],ふじゆう[な],不自由[的]
うらやむ,うらやむ,羡慕
天[てん] 才[さい],てんさい,天才
話[はな] 相[あい] 手[て],はなしあいて,谈话对象
そうかといって,そうかといって,话说回来
まぎらわす,まぎらわす,冲淡、排遣（某种思虑）
切[せつ] 実[じつ][な],せつじつ[な],确切[的]
たより,たより,依靠
茶[ちゃ] 杓[しゃく],ちゃしゃく,茶勺
一[いっ] 片[ぺん],いっぺん,一片
肉[にく] 体[たい],にくたい,肉体
まかせきる,まかせきる,完全交给
愛[あい] 用[よう][する],あいよう[する],爱用、喜欢用
滅[ほろ] びる,ほろびる,灭亡
鐘[かね],かね[おてらの〜],钟
お 寺[てら]の 鐘[かね],かね[おてらの〜],寺庙的钟
余[よ] 音[いん],よいん,余音
とどめる,とどめる,留下、阻止
後[のち] の,のちの[ひとびと],后来的
