株[かぶ]式[しき]会[がい]社[しゃ],かぶしきがいしゃ,股份有限公司
随[ずい]筆[ひつ],ずいひつ,随笔
経[けい]過[か][する],けいか[する],经过、(时间的) 推移
変[へん]化[か][する],へんか[する],变化
心[しん]情[じょう],しんじょう,心情
勘[かん]違[ちが]い[する],かんちがい[する],理解错误、错觉
日[にち]常[じょう][的],にちじょう[てき],日常
社[しゃ]交[こう],しゃこう,社交
雑[ざつ]談[だん][する],ざつだん[する],闲聊、闲谈
入[にゅう]園[えん]料[りょう],にゅうえんりょう,入园费、门票
大[お]人[とな],おとな,大人
小[しょう]人[にん],しょうにん,小孩儿
そのうち,,不久
注[ちゅう]目[もく][する],ちゅうもく[する],关注
語[ご],ご,单词
思[し]考[こう][する],しこう[する],想法、思维
問[と]い,とい,提问
全[ぜん]文[ぶん],ぜんぶん,全文
のみこむ,,领会、理解
佃[つく]煮[だに],つくだに,加酱油、糖煮的小鱼虾（一种日式小菜）（佃煮にするほど多い／多得不胜枚举）
以[い]後[ご],いご,往后、今后
以[い]降[こう],いこう,以后
以[い]来[らい],いらい,自从……之后
一[いっ]体[たい],いったい,究竟、到底
四[よ]字[じ]熟[じゅく]語[ご],よじじゅくご,四字成语
熟[じゅく]語[ご],じゅくご,成语、熟语
適[てき]度[ど][な],てきど[な],适度[的]
いや,,不、不是
いな,,不、不对
適[てき]切[せつ][な],てきせつ[な],恰当[的]
一[いっ]進[しん]一[いっ]退[たい],いっしんいったい,时好时坏
試[し]行[こう]錯[さく]誤[ご],しこうさくご,反复试验又失败、不断摸索
月[つき]日[ひ],つきひ,日子、时间
要[よう]する,ようする,需要
ただ,,不过
浮[う]かぶ,うかぶ,浮现、想出来
月[つき]極[ぎめ]/月[つき]決[ぎめ],つきぎめ,包月、按月
来[らい]日[にち][する],らいにち[する],来到日本
詰[つ]める,つめる,往……里装
街[まち],まち,街道
看[かん]板[ばん],かんばん,（商店）招牌、广告牌
解[かい]読[どく][する],かいどく[する],阅读理解
出[で]くわす,でくわす,遇见、见到
パーキング,,停车场
頭[あたま],あたま,最前面
頭[あたま]に付く,あたまにつく,加在最前面
和[わ]英[えい]辞[じ]典[てん],わえいじてん,日英词典
辞[じ]典[てん],じてん,词典
ひょっとして,,说不定
オーナー,,老板
苗[みょう]字[じ],みょうじ,姓氏
あるいは,,或者
ムーン,,月亮
エンド,,末端
ネーミング,,取名
なんとなく,,不知不觉
頭[あたま]に入[い]れる,あたまにいれる,记住
見[み]慣[な]れる,みなれる,看（习）惯
範[はん]囲[い],はんい,范围
広[ひろ]がる,ひろがる,扩大
横[おう]断[だん][する],おうだん[する],横穿
どうやら,,仿佛，大概
市[し]場[じょう],しじょう,市场
駐[ちゅう]車[しゃ]場[じょう]市[し]場[じょう],しじょう[ちゅうしゃじょう〜/じょう〜],停车场市场
独[どく]占[せん][する],どくせん[する],垄断
一[いち]部[ぶ]上[じょう]場[じょう],いちぶじょうじょう,主板上市公司
上[じょう]場[じょう][する],じょうじょう[する],(股票) 上市
思[おも]い込[こ]む,おもいこむ,确信、信以为真
突[つっ]走[はし]る,つっぱしる,猛跑
在[ざい]日[にち],ざいにち,在日本
とりあえず,,首先
観[かん]光[こう]物[ぶっ]産[さん]館[かん],かんこうぶっさんかん,旅游特产商店
観[かん]光[こう],かんこう,观光
目[め]に入[はい]る,めにはいる,映入眼帘、看到
国[こく]語[ご]辞[じ]典[てん],こくごじてん,国语词典
忍[しの]ばせる,しのばせる,悄悄携带、身藏
～ごと,,每……
月[つき]ごと,[つき～],每月
契[けい]約[やく][する],けいやく[する],签约
定[てい]義[ぎ][する],ていぎ[する],定义
慣[かん]用[よう],かんよう,惯用
一[いっ]瞬[しゅん],いっしゅん,一瞬间、顿时
パッと,,一下子
たとえ,,即使……(也)
読[よ]み違[ちが]える,よみちがえる,读错
日[ひ]々,ひび,天天
書[か]き入[い]れる,かきいれる,填写
かまわない,,没关系
書[か]き留[と]める,かきとめる,记下来
五月蝿[うるさ]い,うるさい,讨厌的
時[し]雨[ぐれ],しぐれ,秋雨、(秋冬之交的)阵雨
向日葵[ひまわり],ひまわり,向日葵
流[なが]れ,ながれ[ぶんしょうの～],展开
文[ぶん]章[しょう]の流[なが]れ,ながれ[ぶんしょうの～],文章的展开
[delete]ことわざ,,谚语
ことわざ,,谚语
取[と]り違[ちが]える,とりちがえる,理解错误
情[なさ]けは人[ひと]のためならず,なさけはひとのためならず,为人也是为己、好人必有好报
お好[この]み焼[や]き,おこのみやき,欢喜烧（一种日式比萨）
話[わ]題[だい],わだい,话题
戻[もど]す,もどす,放回原处、返回
思[おも]い違[ちが]い,おもいちがい,想错、误解
自[じ]分[ぶん]自[じ]身[しん],じぶんじしん,自身
わいわい,わいわい,热热闹闹地
ホームパーティー,ホームパーティー,家庭聚会
ぴったり,ぴったり,正合适
どうにか,どうにか,总算、凑合
直[ちょく]訳[やく][する],ちょくやく[する],直译
災[わざ]い,わざわい,灾难、祸害
遠[とお]ざける,とおざける,远离、回避
門[かど],かど,门、家门口（笑う門には福来る／和气生财、和气致祥）
福[ふく],ふく,福、福气
結[けっ]構[こう],けっこう,相当
結[けっ]構[こう]多[おお]い,けっこうおおい,相当多
辛[から]党[とう],からとう,爱喝酒的人
甘[あま]党[とう],あまとう,爱吃甜食的人
知[し]ったかぶり,しったかぶり,不懂装懂
一[いっ]時[とき],いっとき,一刻、短时间
恥[はじ],はじ,羞耻、丢脸
関[かん]連[れん][する],かんれん[する],（与……）有关
広[ひろ]げる,ひろげる,展开
話[はなし]を広[ひろ]げる,はなしをひろげる,展开话题
ベストセラー,ベストセラー,畅销（书）、销量第一的
コンパ,コンパ,学生聚会
共[きょう]感[かん][する],きょうかん[する],同感、共鸣
逆[さか]さま[な],さかさま[な],（顺序、位置）颠倒[的]
言[い]い換[か]える,いいかえる,换言之
知[し]り合[あ]い,しりあい,熟人
石[いし]の上[うえ]にも三[さん]年[ねん],いしのうえにもさんねん,功夫不负有心人
住[す]めば都[みやこ],すめばみやこ,久居则安
都[みやこ],みやこ,京城、好地方
住[す]み慣[な]れる,すみなれる,居住习惯
猿[さる]も木[き]から落[お]ちる,さるもきからおちる,智者千虑必有一失
