暦[こよみ],コヨミ,历书、日历
お 兄[にい] ちゃん,オニイチャン,（亲呢的称呼）哥哥
呼[こ] 称[しょう],コショウ,称呼
スタイル,,形式
太[たい] 陽[よう] 暦[れき],タイヨウレキ,阳历
太[たい] 陰[いん] 暦[れき],タイインレキ,阴历
太[たい] 陰[いん] 太[たい] 陽[よう] 暦[れき],タイインタイヨウレキ,阴阳历
まつわる,マツワル,纠缠、关联（…にまつわる〜／与……有关的）
本[ほん] 来[らい],ホンライ,原来、本来
タコ,,章鱼
八[はっ] 角[かっ] 形[けい],ハッカッケイ,八角形
不[ふ] 備[び],フビ,不完善、不完全
補[おぎな] う,オギナウ,补充
呼[よ] び 名[な],ヨビナ,叫法、称呼
ずれる,ズレル,错位、有偏差
改[かい] 暦[れき][する],カイレキ[する],改用新的历法
新[しん] 暦[れき],シンレキ,公历
旧[きゅう] 暦[れき],キュウレキ,农历
別[べつ],ベツ,另外
睦[むつ] 月[き],ムツキ,阴历正月
如[き] 月[さらぎ],キサラギ,阴历二月
弥[や] 生[よい],ヤヨイ,阴历三月
木[こ] の 葉[は],コノハ,树叶
転[てん] じる,テンジル,转换
葉[は] 月[づき],ハヅキ,阴历八月
[delete]長[なが] 月[つき],ナガツキ,阴历九月
長[なが] 月[つき],ナガツキ,阴历九月
名[な] づける,ナヅケル,取名
立[りっ] 春[しゅん],リッシュン,立春
初[しょ] 旬[じゅん],ショジュン,上旬
生[しょう] じる,ショウジル,产生
長[なが] 年[ねん],ナガネン,多年
慣[な]れ 親[した]しむ,ナレシタシム,习惯于……
切[き]り 替[か]える,キリカエル,变换、转向
体[たい] 制[せい],タイセイ,体制
人[じん] 心[しん],ジンシン,民心、人心
一[いっ] 新[しん][する],イッシン[する],焕然一新
閏[うるう] 年[どし],ウルウドシ,闰年
抱[かか] える,カカエル[モンダイヲ〜],有、存在（难以解决的问题）
問[もん] 題[だい]を 抱[かか] える,カカエル[モンダイヲ〜],面临问题
会[かい] 計[けい],カイケイ,会计、财务
年[ねん] 度[ど],ネンド,年度
西[せい] 洋[よう],セイヨウ,西洋
ならう,ナラウ,学习、模仿
一[いっ] 定[てい],イッテイ,一定
諸[しょ],ショ[〜ガイコク],各……
外[がい] 国[こく]諸[しょ],ショ[〜ガイコク],各国
実[じっ] 施[し][する],ジッシ[する],实施
唐[とう] 突[とつ][な],トウトツ[な],突然[的]、唐突[的]
戸[と] 惑[まど] う,トマドウ,困惑、不知所措
真[しん] の,シンノ,真正的
ねらい,ネライ,目的
当[とう] 時[じ],トウジ,当时
支[し] 出[しゅつ][する],シシュツ[する],支出、开支
占[し] める,シメル,占
人[じん] 件[けん] 費[ひ],ジンケンヒ,人工费、工钱
〜 費[ひ],〜ヒ[ジンケン〜],……费
人[じん] 件[けん] 費[ひ],〜ヒ[ジンケン〜],人工费
不[ふ] 足[そく][する],フソク[する],不足
新[しん] 制[せい] 度[ど],シンセイド,新制度
導[どう] 入[にゅう][する],ドウニュウ[する],引进
役[やく] 人[にん],ヤクニン,官员
補[ほ] 充[じゅう][する],ホジュウ[する],补充
財[ざい] 政[せい] 難[なん],ザイセイナン,财政困难
財[ざい] 政[せい],ザイセイ,财政
〜 難[なん],〜ナン[ザイセイ〜],……困难
財[ざい] 政[せい] 難[なん],〜ナン[ザイセイ〜],财政困难
新[しん] 政[せい] 権[けん],シンセイケン,新政权
政[せい] 権[けん],セイケン,政权
翌[よく] 日[じつ],ヨクジツ,第二天
決[けつ] 断[だん][する],ケツダン[する],决断
翌[よく] 年[ねん],ヨクネン,第二年
計[けい] 〜,ケイ〜,共计……
回[かい] 避[ひ][する],カイヒ[する],回避
もくろむ,モクロム,企图、图谋
作[さく] 成[せい][する],サクセイ[する],制作
報[ほう] 告[こく][する],ホウコク[する],报告
歓[かん] 談[だん][する],カンダン[する],畅谈
節[せつ] 分[ぶん],セツブン,立春的前一天、季节的转换期
行[ぎょう] 事[じ],ギョウジ,活动、仪式
リビングルーム,リビングルーム,起居室、客厅
ご 無[ぶ] 沙[さ] 汰[た][する],ゴブサタ[する],久违了、好久没联系了
お 久[ひさ] しぶり,オヒサシブリ,好久不见
口[くち] に 合[あ] う,クチニアウ,合口味
邪[じゃ] 魔[ま][する],ジャマ[する],打扰、干扰
おかまい,オカマイ,招待、款待
おいで,オイデ,过来、到这边来
早[はや] い もん だ よ。,ハヤイモンダヨ,真是……啊！（用于句末）（早い〜／真快啊！）
お 面[めん],オメン,假面具
まく,マク[マメヲ〜],撒
豆[まめ] をまく,マク[マメヲ〜],撒豆子
追[お] い 払[はら] う,オイハラウ,驱赶
今[いま] どき,イマドキ,当今、现在
よっぽど,ヨッポド／ヨホド,更、格外（加强语气）
よほど,ヨッポド／ヨホド,更、格外（加强语气）
四[し] 季[き],シキ,四季
折[おり] 々,オリオリ[シキ〜],时时
四[し] 季[き]折[おり] 々,オリオリ[シキ〜],各个季节
おじさん( 子[こ] ども に 向[む] かっての),オジサン(コドモニムカッテノ),叔叔我（男性对小孩儿提起自己时使用）
ユース,ユース,青年（足球）队
抜[ぬ] く,ヌク[ヒトヲ〜],超过、胜过
人[ひと] を 抜[ぬ] く,ヌク[ヒトヲ〜],过人
展[てん] 示[じ] 品[ひん],テンジヒン,展示品
親[おや] 子[こ],オヤコ,亲子、父子、母子
かける,カケル[コエヲ〜],搭讪
声[こえ] をかける,カケル[コエヲ〜],打招呼
水[すい] 族[ぞく] 館[かん],スイゾクカン,水族馆
〜 連[づ] れ,〜ヅレ,领着……、带着……
母[はは] 親[おや],ハハオヤ,母亲
リレー,リレー,接力赛
ひな 祭[まつ] り,ヒナマツリ,偶人节、女儿节（三月三日）
ひな 人[にん] 形[ぎょう],ヒナニンギョウ,公主偶人（女儿节时陈列的偶人）
身[み] 近[ぢか],ミヂカ,身边
都[と] 道[どう] 府[ふ] 県[けん],トウドウフケン,都道府县（日本行政地区划分级别）
著[ちょ] 者[しゃ],チョシャ,作者
クッキー,クッキー,曲奇饼、小饼干
恋[れん] 愛[あい][する],レンアイ[する],恋爱
冒[ぼう] 険[けん],ボウケン,冒险
好[この] む,コノム,嗜好
地[ち] 方[ほう],チホウ,地方
特[とく] 産[さん] 品[ひん],トクサンヒン,地方特产
玉[たま] ねぎ,タマネギ,洋葱
じゃがいも,ジャガイモ,土豆
盛[さか] ん[な],サカン[な],盛行[的]
移[うつ] す,ウツス,移动
コスト,コスト,成本
出[で] 口[ぐち] 調[ちょう] 査[さ],デグチチョウサ,（选举投票时的）出口民意调查
生[せい] 活[かつ] 習[しゅう] 慣[かん] 病[びょう],セイカツシュウカンビョウ,生活习惯病
おぼれる,オボレル,溺水
複[ふく] 数[すう],フクスウ,复数
足[あし] 跡[あと],アシアト,足迹
頂[ちょう] 上[じょう],チョウジョウ,山顶
吹[ふ] 雪[ぶき],フブキ,暴风雪
遭[あ] う,アウ[フブキニ〜],遭遇
吹[ふ] 雪[ぶき] に 遭[あ] う,アウ[フブキニ〜],遭遇暴风雪
引[ひ] き 返[かえ] す,ヒキカエス,(中途)返回、折回
予[よ] 想[そう][する],ヨソウ[する],预料
はるかに,ハルカニ,远比（程度差的很多）
イベント,イベント,文娱活动
納[なっ] 得[とく][する],ナットク[する],信服、理解、赞同
方[ほう] 針[しん],ホウシン,方针
新[しん] 入[にゅう] 生[せい],シンニュウセイ,新生
持[も] つ,モツ[コドモヲ〜],有、持有、所有
子[こ] どもを 持[も] つ,モツ[コドモヲ〜],有孩子
稼[かせ] ぐ,カセグ,赚钱
あきれる,アキレル,吃惊、愕住
素[しろ] 人[うと],シロウト,外行
相[そう] 当[とう][な],ソウトウ[な],相当[的]
独[どく] 学[がく][する],ドクガク[する],自学
基[き] 準[じゅん],キジュン,基准
照[て] らす,テラス,按照
新[しん] 入[にゅう] 社[しゃ] 員[いん],シンニュウシャイン,新职员
応[おう] 対[たい][する],オウタイ[する],应对
学[がく] 位[い],ガクイ,学位
負[ま] けず 嫌[ぎら] い,マケズギライ,好强、好胜
しっかり,シッカリ,踏实地、好好地
バイオリン,バイオリン,小提琴
着[き] 替[が] える,キガエル,换装、换衣服
しゃくりあげる,シャクリアゲル,抽抽噎噎地哭
甘[あま] えん 坊[ぼう],アマエンボウ,爱撒娇的孩子
鐘[かね],カネ,(吊)钟
ルーツ,ルーツ,起源
古[こ] 代[だい],コダイ,古代
王[おう] 国[こく],オウコク,王国
天[てん] 文[もん],テンモン,天文
学[がく] 者[しゃ],ガクシャ,学者
観[かん] 測[そく][する],カンソク[する],观测
水[すい] 星[せい],スイセイ,水星
金[きん] 星[せい],キンセイ,金星
火[か] 星[せい],カセイ,火星
木[もく] 星[せい],モクセイ,木星
支[し] 配[はい][する],シハイ[する],统治、控制、管理
特[とく] 定[てい][する],トクテイ[する],特定
割[わ] り 振[ふ] る,ワリフル,分摊、分配
並[なら] び 順[じゅん],ナラビジュン,排列顺序
端[たん] 午[ご] の 節[せっ] 句[く],タンゴノセック,端午节
節[せっ] 句[く],セック,节日
武[む] 者[しゃ] 人[にん] 形[ぎょう],ムシャニンギョウ,武士偶人
鯉[こい] のぼり,コイノボリ,鲤鱼旗
鯉[こい],コイ,鲤鱼
伝[でん] 説[せつ],デンセツ,传说
流[なが] れ,ナガレ[カワノ〜],水流
川[かわ] の 流[なが] れ,ナガレ[カワノ〜],河流
滝[たき],タキ,瀑布
光[ひか] り 輝[かがや] く,ヒカリカガヤク,光芒四射
竜[りゅう],リュウ,龙
変[へん] 身[しん][する],ヘンシン[する],摇身一变
昇[のぼ] る,ノボル[テンニ〜],升起
天[てん] に 昇[のぼ] る,ノボル[テンニ〜],升向天空
困[こん] 難[なん],コンナン,困难
立[た] ち 向[む] かう,タチムカウ,面对
生[う] まれる,ウマレル[コイノボリガ〜],诞生、产生
鯉[こい] のぼりが 生[う] まれる,ウマレル[コイノボリガ〜],有(了)鲤鱼旗
古[こ] 代[だい] ローマ,コダイローマ,古罗马
