鉛[えん] 筆[ぴつ] 削[けず] り,エンピツケズリ,铅笔刀
幸[こう] 運[うん],コウウン,幸运
登[とう] 場[じょう] 人[じん] 物[ぶつ],トウジョウジンブツ,出场人物
内[うち],ウチ[ココロノ〜],里头
心[こころ] の 内[うち],ウチ[ココロノ〜],内心
解[かい] 釈[しゃく][する],カイシャク[する],解释
山[やま],ヤマ[ホンノ〜],山
本[ほん] の 山[やま],ヤマ[ホンノ〜],书本堆积如山
言[い] い 返[かえ] す,イイカエス,反驳
修[しゅう] 復[ふく][する],シュウフク[する],修复
おそらく,オソラク,大概、恐怕
薄[うす] 汚[ぎたな] い,ウスギタナイ,脏乎乎[的]、污秽[的]
ぴかぴか[な],ピカピカ[な],亮锃锃的
新[しん] 品[ぴん],シンピン,新品
手[て] に 入[い] れる,テニイレル,拿到手、弄到手
さらに,サラニ,多、常见、不稀奇（俗语）
目[め] を とめる,メヲトメル,注视、留意
しょうゆさし,ショウユサシ,酱油壶
食[しょく] 塩[えん],ショクエン,食盐
流[なが] し 台[だい],ナガシダイ,洗菜池、洗碗池
排[はい] 水[すい] パイプ,ハイスイパイプ,排水管
排[はい] 水[すい],ハイスイ,排水
修[しゅう] 理[り] 屋[や],シュウリヤ,修理工、修理店
ちらちら,チラチラ,时隐时现、时有时无
コレクター,コレクター,收集者
知[し] る 由[よし] も ない,シルヨシモナイ,没法知道
鋭[するど] い,スルドイ,尖锐[的]
視[し] 線[せん],シセン,视线
走[はし] らす,ハシラス[シセンヲ〜],快速浏览
視[し] 線[せん] を 走[はし] らす,ハシラス[シセンヲ〜],扫视一下
見[けん] 当[とう],ケントウ,估计、推测
つく,ケントウガ〜,得到
見[けん] 当[とう] がつく,ケントウガ〜,能估计到
雑[ざつ] 然[ぜん],ザツゼン,杂乱、乱七八糟
ちらばる,チラバル,摆放零乱
手[て] に 取[と] る,テニトル,拿起
ごく,ゴク,极其
あたりまえ,アタリマエ,常见、普通
手[しゅ] 動[どう] 式[しき],シュドウシキ,手动式
何[なに] ひとつない,ナニヒトツナイ,什么也没有
金[きん] 属[ぞく],キンゾク,金属
錆[さ] びる,サビル,生锈
てっぺん,テッペン,顶端
シール,シール,封条
要[よう] する に,ヨウスルニ,总而言之
刃[は],ハ,刃、刀刃
かみあわせ,カミアワセ,咬合
タイプ,タイプ,型号、类型
削[けず] りかす,ケズリカス,削下来的木屑
微[び] 妙[みょう][に],ビミョウ[に],微妙[地]
最[さい] 新[しん] 式[しき],サイシンシキ,最新式
持[も] ち 歩[ある] く,モチアルク,随身携带
超[ちょう] 〜,チョウ〜[〜タンペン ショウセツ],超……
超[ちょう] 短[たん] 編[ぺん] 小[しょう] 説[せつ],チョウ〜[〜タンペン ショウセツ],超短篇小说
短[たん] 編[ぺん] 小[しょう] 説[せつ],タンペンショウセツ,短篇小说
意[い] 外[がい][な],イガイ[な],意外[的]
満[まん] 足[ぞく][する],マンゾク[する],满意、心满意足
価[か] 値[ち] 観[かん],カチカン,价值观
異[こと] なる,コトナル,不同
行[こう] 為[い],コウイ,行为
シナリオ,シナリオ,脚本、剧本
角[かく] 度[ど],カクド,角度
うらやましい,ウラヤマシイ,羡慕
じっと,ジット,一动不动
見[み] つめる,ミツメル,凝视、注视
いらいら[する],イライラ[する],坐立不安
気[き] に 入[い] る,キニイル,中意、看中
仲[なか] 直[なお] り[する],ナカナオリ[する],修复关系
不[ふ] 満[まん],フマン,不满
非[ひ] 難[なん][する],ヒナン[する],指责
皮[ひ] 肉[にく],ヒニク,挖苦、讽刺
ワイングラス,ワイングラス,喝葡萄酒的酒杯、高脚酒杯
捜[さが] し 物[もの],サガシモノ,要找的东西
しょっちゅう,ショッチュウ,经常、老是
欠[か] ける,カケル[カップガ〜],缺口
カップが 欠[か] ける,カケル[カップガ〜],杯子有了缺口
しまい 込[こ] む,シマイコム,收拾起来
だって,ダッテ,即使……也……
新[しん] 婚[こん],シンコン,新婚
思[おも] い 出[で],オモイデ,回忆
思[おも] い 切[き] る,オモイキル,断然、果断
そもそも,ソモソモ,本来、毕竟
とる,トル[バショヲ〜],占[場所を〜/占地方]
場[ば] 所[しょ] をとる,トル[バショヲ〜],占地方
栓[せん],セン,瓶塞、栓
抜[ぬ] く,ヌク[センヲ〜],拔掉
栓[せん] を 抜[ぬ] く,ヌク[センヲ〜],拔掉瓶塞
平[へい] 気[き][な],ヘイキ[な],不在乎、无所谓
おまけに,オマケニ,加之、而且
気[き] が ない,キガナイ,不打算、没心思
そんなに,ソンナニ,那么
のぞく,ノゾク,看一看
